Name,Height(in),Weight(lbs),40 yard,Bench press,Vert leap,Broad jump,Shuttle,HOF,Draft Pos,Games,Draft Year
"barnett,ha",70.8,195,4.55,17.0,33.0,119.0,4.19,0.0,101.0,99,1990
"smith,be",70.8,183,4.47,11.0,35.5,122.0,4.28,0.0,22.0,57,1990
"collins,ke",71.5,183,4.58,11.0,33.5,118.0,4.3,0.0,193.0,0,1990
"vanhorse,se",69.9,178,4.56,10.0,35.0,115.0,4.37,0.0,151.0,70,1990
"butler,le",71.0,193,4.56,9.0,32.0,114.0,4.29,0.0,48.0,181,1990
"montgomery,al",72.0,198,4.6,12.0,30.5,115.0,4.16,0.0,52.0,68,1990
"williams,ja",69.9,172,4.34,9.0,38.0,129.0,4.03,0.0,16.0,70,1990
"andrews,ro",71.1,189,4.66,10.0,33.5,115.0,4.21,0.0,,0,1990
"robinson,ju",69.0,181,4.58,14.0,31.0,112.0,4.38,0.0,110.0,26,1990
"watkins,ke",70.3,194,4.67,17.0,31.0,114.0,4.16,0.0,,0,1990
"brown,ro",70.8,192,4.6,11.0,30.5,112.0,4.21,0.0,215.0,37,1990
"pool,da",69.1,188,4.51,11.0,32.5,115.0,4.35,0.0,145.0,43,1990
"davis,er",70.1,176,4.53,19.0,38.0,124.0,4.06,0.0,53.0,188,1990
"buck,vi",72.5,195,4.79,10.0,30.0,108.0,4.26,0.0,44.0,84,1990
"grant,al",69.5,189,4.61,17.0,34.0,112.0,4.59,0.0,103.0,72,1990
"kelson,de",71.9,184,4.45,14.0,33.5,116.0,4.28,0.0,279.0,0,1990
"francisco,dj",70.0,182,4.65,,33.0,112.0,4.28,0.0,262.0,0,1990
"smagala,st",69.8,183,4.51,15.0,37.5,126.0,3.99,0.0,123.0,11,1990
"oldham,ch",69.0,183,4.69,13.0,31.5,111.0,4.09,0.0,105.0,155,1990
"lott,ja",69.0,181,4.67,10.0,32.5,113.0,4.39,0.0,,0,1990
"harden,bo",72.5,190,4.65,,40.0,119.0,4.14,0.0,315.0,29,1990
"cooney,an",72.5,204,4.64,7.0,31.0,114.0,4.28,0.0,310.0,0,1990
"labbe,ri",71.3,202,4.75,16.0,35.0,119.0,4.19,0.0,109.0,0,1990
"washington,mi",69.4,187,4.68,,29.0,114.0,4.43,0.0,199.0,108,1990
"rainge,sh",72.1,203,4.75,16.0,32.5,113.0,4.16,0.0,,0,1990
"mangum,jo",70.5,173,4.58,17.0,34.0,117.0,4.25,0.0,144.0,105,1990
"mcwright,ro",68.5,179,4.48,20.0,36.0,114.0,4.27,0.0,134.0,0,1990
"smith,ja",73.6,197,4.62,12.0,35.0,119.0,4.13,0.0,294.0,0,1991
"thomas,ed",68.0,174,4.62,14.0,31.5,113.0,4.27,0.0,,0,1991
"vincent,sh",69.1,171,4.67,12.0,34.0,114.0,4.22,0.0,,0,1991
"crump,le",74.3,216,4.78,13.0,34.0,119.0,4.37,0.0,,0,1991
"mcgriggs,la",73.8,199,4.81,9.0,34.0,118.0,4.17,0.0,223.0,57,1991
"king,jo",73.9,197,4.54,11.0,34.0,119.0,3.99,0.0,,0,1991
"cooper,re",73.9,214,4.84,15.0,32.5,120.0,4.58,0.0,,0,1991
"bailey,ro",69.5,176,4.53,16.0,33.5,115.0,4.09,0.0,107.0,146,1991
"wren,da",71.8,186,4.44,10.0,35.0,115.0,4.2,0.0,82.0,20,1991
"fain,ri",70.4,183,4.62,,34.0,113.0,4.06,0.0,157.0,24,1991
"ramsey,er",71.1,189,4.62,15.0,35.0,120.0,4.16,0.0,273.0,0,1991
"clark,vi",71.8,189,4.5,9.0,32.0,120.0,4.09,0.0,19.0,83,1991
"mitchell,br",69.8,164,4.58,,33.0,115.0,4.17,0.0,172.0,36,1991
"peoples,ma",68.1,187,4.65,12.0,32.5,109.0,4.3,0.0,,0,1991
"bell,ch",70.0,182,4.58,6.0,31.0,113.0,4.34,0.0,243.0,0,1991
"henderson,je",70.8,189,4.47,12.0,32.5,115.0,4.14,0.0,41.0,98,1991
"carter,si",71.0,178,4.78,13.0,31.5,119.0,4.28,0.0,195.0,0,1991
"green,ch",70.6,188,4.65,18.0,30.5,101.0,4.14,0.0,191.0,66,1991
"godfrey,ed",68.5,182,4.62,16.0,33.5,117.0,4.42,0.0,,0,1991
"johnson,jo",68.3,186,4.66,13.0,30.0,108.0,3.99,0.0,105.0,0,1991
"spencer,ji",69.6,180,4.48,9.0,40.5,120.0,4.09,0.0,215.0,177,1991
"mccloughan,da",72.3,180,4.56,9.0,34.0,114.0,3.98,0.0,69.0,48,1991
"pettaway,cl",69.8,198,4.65,18.0,34.0,112.0,4.24,0.0,,0,1991
"turner,er",72.9,206,4.51,20.0,36.5,124.0,4.37,0.0,2.0,109,1991
"walker,sa",70.5,192,4.45,8.0,33.0,121.0,4.14,0.0,88.0,26,1991
"wiley,jo",71.5,190,4.66,,31.0,113.0,4.09,0.0,,0,1991
"richard,st",73.4,199,4.49,9.0,37.0,122.0,4.2,0.0,9.0,124,1991
"dunn,al",71.4,198,4.7,6.0,31.0,113.0,4.33,0.0,,0,1991
"brown,la",71.1,181,4.63,15.0,30.0,114.0,4.34,0.0,320.0,95,1991
"smith,ke",70.4,194,4.79,5.0,34.5,112.0,4.09,0.0,,0,1991
"covington,to",70.4,189,4.6,11.0,32.0,110.0,4.3,0.0,93.0,42,1991
"foggie,fr",71.8,189,4.57,,35.5,117.0,4.26,0.0,,0,1991
"scott,to",70.4,204,4.65,14.0,33.0,115.0,4.02,0.0,163.0,83,1991
"jones,re",72.6,198,4.57,11.0,33.5,119.0,4.08,0.0,126.0,41,1991
"lewis,da",68.5,193,4.63,17.0,32.5,118.0,4.13,0.0,38.0,141,1991
"hardy,jo",69.6,166,4.66,,35.5,118.0,4.09,0.0,,0,1991
"anthony,ch",74.1,184,4.63,13.0,36.0,118.0,,0.0,,0,1991
"vinson,fe",70.8,197,4.73,7.0,33.0,110.0,4.31,0.0,184.0,58,1991
"fields,fl",73.3,208,4.7,17.0,37.0,125.0,4.24,0.0,127.0,30,1991
"colon,ha",71.1,203,4.67,18.0,35.0,116.0,3.93,0.0,196.0,87,1991
"valrie,ke",69.6,186,4.72,16.0,30.5,108.0,4.21,0.0,,0,1991
